image_path,Label
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\13b16e68-c82c-4de8-ab34-877ff352e821___FREC_Scab 3180.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\3bf2f5f8-4578-405a-88c6-c5338620a078___FREC_Scab 3059.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\3c27bbd7-b305-4ab0-8a85-5061363cf632___FREC_Scab 3183.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\3c2f46e3-9f96-4912-a9d5-7a046aa6a1b2___FREC_Scab 2967.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\3d34bd1c-fae9-446a-a629-147b5e8d5d6b___FREC_Scab 3103.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\3dd3d59c-be2a-4f29-8fa1-d4f37d7fb894___FREC_Scab 3412.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\3eb26abb-a392-4cc4-9be2-d5e4bb8f3660___FREC_Scab 2969.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\3f65aa69-06c9-423f-ac7a-e2ab6edf63ca___FREC_Scab 3360.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\4a50158d-dcd0-4a1f-885e-2d9b16a4e344___FREC_Scab 3205.JPG,Apple___Apple_scab
C:\Users\Sujan.S\Downloads\DL Package1\DL Package\color\Apple___Apple_scab\4a7f12ff-a785-4d12-8943-f1644789a21b___FREC_Scab 2916.JPG,Apple___Apple_scab
